Date,Open,High,Low,Close,Volume
11-Aug-17,156.60,158.57,156.07,157.48,26257096
10-Aug-17,159.90,160.00,154.63,155.32,40804273
9-Aug-17,159.26,161.27,159.11,161.06,26131530
8-Aug-17,158.60,161.83,158.27,160.08,36205896
7-Aug-17,157.06,158.92,156.67,158.81,21870321
4-Aug-17,156.07,157.40,155.69,156.39,20559852
3-Aug-17,157.05,157.21,155.02,155.57,27097296
2-Aug-17,159.28,159.75,156.16,157.14,69936800
1-Aug-17,149.10,150.22,148.41,150.05,35368645
31-Jul-17,149.90,150.33,148.13,148.73,19845920
28-Jul-17,149.89,150.23,149.19,149.50,17213653
27-Jul-17,153.75,153.99,147.30,150.56,32476337
26-Jul-17,153.35,153.93,153.06,153.46,15780951
25-Jul-17,151.80,153.84,151.80,152.74,18853932
24-Jul-17,150.58,152.44,149.90,152.09,21493160
21-Jul-17,149.99,150.44,148.88,150.27,26252630
20-Jul-17,151.50,151.74,150.19,150.34,17243748
19-Jul-17,150.48,151.42,149.95,151.02,20922969
18-Jul-17,149.20,150.13,148.67,150.08,17868792
17-Jul-17,148.82,150.90,148.57,149.56,23793456
14-Jul-17,147.97,149.33,147.33,149.04,20132061
13-Jul-17,145.50,148.49,145.44,147.77,25199373
12-Jul-17,145.87,146.18,144.82,145.74,24884478
11-Jul-17,144.73,145.85,144.38,145.53,19781836
10-Jul-17,144.11,145.95,143.37,145.06,21090636
7-Jul-17,142.90,144.75,142.90,144.18,19201712
6-Jul-17,143.02,143.50,142.41,142.73,24128782
5-Jul-17,143.69,144.79,142.72,144.09,21569557
3-Jul-17,144.88,145.30,143.10,143.50,14277848
30-Jun-17,144.45,144.96,143.78,144.02,23024107
29-Jun-17,144.71,145.13,142.28,143.68,31499368
28-Jun-17,144.49,146.11,143.16,145.83,22082432
27-Jun-17,145.01,146.16,143.62,143.73,24761891
26-Jun-17,147.17,148.28,145.38,145.82,25692361
23-Jun-17,145.13,147.16,145.11,146.28,35439389
22-Jun-17,145.77,146.70,145.12,145.63,19106294
21-Jun-17,145.52,146.07,144.61,145.87,21265751
20-Jun-17,146.87,146.87,144.94,145.01,24900073
19-Jun-17,143.66,146.74,143.66,146.34,32541404
16-Jun-17,143.78,144.50,142.20,142.27,50361093
15-Jun-17,143.32,144.48,142.21,144.29,32165373
14-Jun-17,147.50,147.50,143.84,145.16,31531232
13-Jun-17,147.16,147.45,145.15,146.59,34165445
12-Jun-17,145.74,146.09,142.51,145.42,72307330
9-Jun-17,155.19,155.19,146.02,148.98,64882657
8-Jun-17,155.25,155.54,154.40,154.99,21250798
7-Jun-17,155.02,155.98,154.48,155.37,21069647
6-Jun-17,153.90,155.81,153.78,154.45,26624926
5-Jun-17,154.34,154.45,153.46,153.93,25331662
2-Jun-17,153.58,155.45,152.89,155.45,27770715
1-Jun-17,153.17,153.33,152.22,153.18,16404088
31-May-17,153.97,154.17,152.38,152.76,24451164
30-May-17,153.42,154.43,153.33,153.67,20126851
26-May-17,154.00,154.24,153.31,153.61,21927637
25-May-17,153.73,154.35,153.03,153.87,19235598
24-May-17,153.84,154.17,152.67,153.34,19219154
23-May-17,154.90,154.90,153.31,153.80,19918871
22-May-17,154.00,154.58,152.91,153.99,22966437
19-May-17,153.38,153.98,152.63,153.06,26960788
18-May-17,151.27,153.34,151.13,152.54,33568215
17-May-17,153.60,154.57,149.71,150.25,50767678
16-May-17,155.94,156.06,154.72,155.47,20048478
15-May-17,156.01,156.65,155.05,155.70,26009719
12-May-17,154.70,156.42,154.67,156.10,32527017
11-May-17,152.45,154.07,152.31,153.95,27255058
10-May-17,153.63,153.94,152.11,153.26,25805692
9-May-17,153.87,154.88,153.45,153.99,39130363
8-May-17,149.03,153.70,149.03,153.01,48752413
5-May-17,146.76,148.98,146.76,148.96,27327725
4-May-17,146.52,147.14,145.81,146.53,23371872
3-May-17,145.59,147.49,144.27,147.06,45697034
2-May-17,147.54,148.09,146.84,147.51,45352194
1-May-17,145.10,147.20,144.96,146.58,33602943
28-Apr-17,144.09,144.30,143.27,143.65,20860358
27-Apr-17,143.92,144.16,143.31,143.79,14246347
26-Apr-17,144.47,144.60,143.38,143.68,20041241
25-Apr-17,143.91,144.90,143.87,144.53,18871501
24-Apr-17,143.50,143.95,143.18,143.64,17134333
21-Apr-17,142.44,142.68,141.85,142.27,17320928
20-Apr-17,141.22,142.92,141.16,142.44,23319562
19-Apr-17,141.88,142.00,140.45,140.68,17328375
18-Apr-17,141.41,142.04,141.11,141.20,14697544
17-Apr-17,141.48,141.88,140.87,141.83,16582094
13-Apr-17,141.91,142.38,141.05,141.05,17822880
12-Apr-17,141.60,142.15,141.01,141.80,20350000
11-Apr-17,142.94,143.35,140.06,141.63,30379376
10-Apr-17,143.60,143.88,142.90,143.17,18933397
7-Apr-17,143.73,144.18,143.27,143.34,16672198
6-Apr-17,144.29,144.52,143.45,143.66,21149034
5-Apr-17,144.22,145.46,143.81,144.02,27717854
4-Apr-17,143.25,144.89,143.17,144.77,19891354
3-Apr-17,143.71,144.12,143.05,143.70,19985714
31-Mar-17,143.72,144.27,143.01,143.66,19661651
30-Mar-17,144.19,144.50,143.50,143.93,21207252
29-Mar-17,143.68,144.49,143.19,144.12,29189955
28-Mar-17,140.91,144.04,140.62,143.80,33374805
27-Mar-17,139.39,141.22,138.62,140.88,23575094
24-Mar-17,141.50,141.74,140.35,140.64,22395563
23-Mar-17,141.26,141.58,140.61,140.92,20346301
22-Mar-17,139.84,141.60,139.76,141.42,25860165
21-Mar-17,142.11,142.80,139.73,139.84,39529912
20-Mar-17,140.40,141.50,140.23,141.46,21542038
17-Mar-17,141.00,141.00,139.89,139.99,43884952
16-Mar-17,140.72,141.02,140.26,140.69,19231998
15-Mar-17,139.41,140.75,139.02,140.46,25691774
14-Mar-17,139.30,139.65,138.84,138.99,15309065
13-Mar-17,138.85,139.43,138.82,139.20,17421717
10-Mar-17,139.25,139.36,138.64,139.14,19612801
9-Mar-17,138.74,138.79,137.05,138.68,22155904
8-Mar-17,138.95,139.80,138.82,139.00,18707236
7-Mar-17,139.06,139.98,138.79,139.52,17446297
6-Mar-17,139.36,139.77,138.60,139.34,21750044
3-Mar-17,138.78,139.83,138.59,139.78,21571121
2-Mar-17,140.00,140.28,138.76,138.96,26210984
1-Mar-17,137.89,140.15,137.60,139.79,36414585
28-Feb-17,137.08,137.44,136.70,136.99,23482860
27-Feb-17,137.14,137.44,136.28,136.93,20257426
